,pred,text,actual
220,Arun Jaitley,RT Finance Minister interview to Yuko Fukushima NHKWorld Indian economy reforms opportunities GST infrastructu,Arun Jaitley
221,Sharad Pawar,Manufacturing openings hires rise to highest levels of the recovery https t co txFZDYYIOe,Donald J. Trump
222,Akhilesh Yadav,Met with a delegation of Sants and Sadhus to discuss the upcoming mela at Prayag https t co ZaShB63fgS,Akhilesh Yadav
223,Akhilesh Yadav,My interview with BUSINESS TODAY A Desire to Make a Difference https t co eV6mUXkvAr,Shashi Tharoor
224,Derek O'Brien,Inspired by the ideals of Swami Pranavananda BSS has been a wonderful combination of Seva amp Shram It has positively impacted many lives,Narendra Modi
225,Hillary Clinton,If you re studying global health or just want to feed your inner wonk check out my wonderful daughter amp https t co 30VA9xJxNd,Hillary Clinton
226,KD SINGH,https t co vx1VX8d99x,Akhilesh Yadav
227,Arun Jaitley,Why should cricket bear the burden of India s strained relations with Pakistan i ask LokendraPSahi of https t co o1RpepWmAC,Shashi Tharoor
228,Omar Abdullah,Who is the PDP trying to fool here Itself or the people Amit Shah Ram Madhav amp the AG in the Supreme Court no l https t co oZ3ZJxLEoI,Omar Abdullah
229,Omar Abdullah,The aggressive domination amp readiness of troops for befitting response to any misadventure by enemy is very satisfying,Arun Jaitley
230,Derek O'Brien,Rise amp Shine Sunday listening Adele cover of a Bob Dylan love song Enjoy https t co yYJJhAJQxg,Derek O'Brien
231,KD SINGH,1 2 55 GangRape,KD SINGH
232,Donald J. Trump,On the sidelines of Group Annual Meetings I shall meet some of the distinguished delegates who will be taking part in AfDBAM2017,Narendra Modi
233,Donald J. Trump,RT Dec 2016 Sherawat got media limelight by showing fake 35Cr cheque May 2017 again got limelight showing s,Manish Sisodia
234,Sushma Swaraj,RT Ahuja URGENT HELP NEEDED FOR MY SISTER IN DALLAS TX Cheated and stranded alone by her husband Undergo,Sushma Swaraj
235,Sushma Swaraj,RT As per data 35 farmers kill themselves everyday Any more speeches to give while the poor die Mr PM 3yearsFarmersInTears T,digvijaya singh
236,Arvind Kejriwal,RT Amid of controversies Kejriwal govt set to issue tender of 100Cr for 12 000 CCTV cameras next week to be installed in 3 80,Manish Sisodia
237,Sharad Pawar,Melania and I were honored to welcome Argentina President and First Lady Juliana Awada to t https t co gR3EPznu1H,Donald J. Trump
238,Arvind Kejriwal,RT Can t expect anything better from anyone closely related to the RSS Not shocking anymore https t co OCvhCHdSAk,digvijaya singh
239,Arvind Kejriwal,RT Thank for exposing how democracy was murdered Like mature democracies paper ballot is the only way to,Arvind Kejriwal
240,Barack Obama,The American Bar Association gave Judge Garland its highest rating Senate leaders DoYourJob and fill the SCOTUS https t co iTVTqGIUvV,Barack Obama
241,Arvind Kejriwal,RT Edu This interaction at summer camp by IIITD students 4 Delhi Gov School Kids makes me optimistic for India s future 2 3 http,Manish Sisodia
242,Manish Sisodia,RT Keep yourself free tomorrow 2pm onwards Tune in to Delhi assembly live telecast on Website and FB It ll be interesting to,Arvind Kejriwal
243,Salman Anees Soz,RT Are Kapil Mishra s allegations amp LG s hostility part of a BJP conspiracy https t co VLKlWRZDkh,Arvind Kejriwal
244,Arvind Kejriwal,RT pac Asli ko hack karoge to jail bhej denge nakli par bharosa nahi because it s a look alike says EC,Arvind Kejriwal
245,Derek O'Brien,Have been tweeting short excerpts from a recent dialogue in SriLanka w Here s the whole conversation https t co ubi46pFc2V,Shashi Tharoor
246,Barack Obama,Strongly welcome the ICJ stay on Kulbushan Jadhav s execution Entire country is united in ensuring his safe release https t co yjzlCTkcbQ,Arvind Kejriwal
247,Shashi Tharoor,Your ideas can also be shared on the MyGov forum or by recording your message by dialling 1800 11 7800 https t co WThDot9kVR,Narendra Modi
248,Donald J. Trump,A warning Our founding ideals are up for grabs Do read https t co ucSzvqLLkX,Salman Anees Soz
249,Hillary Clinton,It is a very fortunate coincidence that this year I received both Rajarshi Shahu Puraskar and LokmanyaTilak Sanman,Sharad Pawar
250,Derek O'Brien,Thanks a lot for your good wishes https t co o1OLgOjC0T,Narendra Modi
251,Narendra Modi,Appreciated the efforts of Sri Lanka to preserve some of the most important elements of Buddhist heritage https t co Xyvj5Ddgdb,Narendra Modi
252,digvijaya singh,Remembering visionary leader Bharatratna Rajiv Gandhi on his death anniversary https t co 8TRW9N6RFv,Sharad Pawar
253,Barack Obama,The positive impact of Obamacare is undeniable but there s one big factor holding many states back https t co 7XebIdRX34,Barack Obama
254,Barack Obama,Senate leaders are putting politics above their basic responsibility to hold a hearing for Judge Garland DoYourJob https t co N7vH2ncwmb,Barack Obama
255,Shashi Tharoor,Thanks also to Mr Chris Weng Country Head Alibaba India amp Kotak Crosswords for the social initiative Educatin https t co 2nrJfD49DH,Sharad Pawar
256,Arun Jaitley,I look forward to working closely with President elect to further strengthen India France ties,Narendra Modi
257,Shashi Tharoor,RT Absurd conviction of Jakarta governor should be wake up call for Indonesia to repeal blasphemy law https t co udwYP3x,Salman Anees Soz
258,Barack Obama,With all of the illegal acts that took place in the Clinton campaign amp Obama Administration there was never a special counsel appointed,Donald J. Trump
259,KD SINGH,nan,Akhilesh Yadav
260,KD SINGH,nan,Akhilesh Yadav
261,Derek O'Brien,RT Now there r 113 Fair Price Medicine Shops in Bengal that offer discount up to 72 HealthReformsInBengal,Derek O'Brien
262,Arun Jaitley,Today along with Mr Ratan Tata amp Tata Trust we have launched an electronic point of supply machine ePOS scheme a https t co 3PKiN5folz,Akhilesh Yadav
263,Hillary Clinton,Don t worry Kaif we all support you forget about those who troll you They deserve Royal Ignore,digvijaya singh
264,Manish Sisodia,RT https t co PpiNHJW0Ce,digvijaya singh
265,Manish Sisodia,RT balan Check out my recent interview with https t co AHEH8mfiHm,Akhilesh Yadav
266,Barack Obama,an appeal for our country to be more helpful to the physically challenged https t co Muc3nq6CTt,Shashi Tharoor
267,Derek O'Brien,RT Barkati not a member His speeches r of his own personal opinion How is responsible 4 hi,Derek O'Brien
268,Donald J. Trump,All the best to on its 2 year anniversary JKRturns2,Salman Anees Soz
269,Hillary Clinton,RT Watch as speaks on the progress made to ensure every student has the opportunity to realize their potential https t c,Barack Obama
270,Akhilesh Yadav,Londoners who missed 1st round of my IngloriousEmpire book tour can catch me at 21May amp at Waterstone s 22nd https t co bXg3SayHDs,Shashi Tharoor
271,Arvind Kejriwal,RT EC CEO release,Manish Sisodia
272,Barack Obama,LIVE President Obama is speaking at the 2016 Our Ocean Conference https t co ALK46jhUpw OurOcean,Barack Obama
273,Hillary Clinton,allegations of unmasking Trump transition officials Not good,Donald J. Trump
274,Sharad Pawar,Mourn the demise of passengers in the tragic PatnaIndoreExpress accident,Sharad Pawar
275,Manish Sisodia,RT 2 lacs engineers unemployed every year https t co vY0EyTIjNw,Manish Sisodia
276,Barack Obama,The historic occasion has been made better with a surprise we have leaders of South Asian nations joining us in celebrating this launch,Narendra Modi
277,KD SINGH,1 4 JammuKashmir,KD SINGH
278,Derek O'Brien,music Sunday listening Poignant lyrics Mariah Carey amp Boyz II Men I know you are shining down on me from heaven https t co Y8AbhrFwRi,Derek O'Brien
279,KD SINGH,Congratulation PatrickModiano nobelprize2014,KD SINGH
280,Manish Sisodia,RT 3Failed,digvijaya singh
281,Hillary Clinton,RT That is an incitement to violence Probably actionable criminally https t co hySdkiLf3K,Salman Anees Soz
282,Sushma Swaraj,Javed Plz keep the Chief Minister Odisha informed about this Odisha,Sushma Swaraj
283,Hillary Clinton,RT The one right we do have is our vote Let s vote for those who recognize amp respect our rights https t co grFwRcOReL,Salman Anees Soz
284,Arvind Kejriwal,RT AAP For the first time in India LIVE Demo of EVM tampering See for yourself Share with everyone WeChallengeEC https,Arvind Kejriwal
285,Arun Jaitley,Chairing the G20 Apex Council meeting Delhi March 6 2017 https t co 3cxGZ6ATHe,Arun Jaitley
286,KD SINGH,1 2,Arvind Kejriwal
287,Manish Sisodia,RT Exclusive 2 https t co QekFo,Manish Sisodia
288,Manish Sisodia,RT,digvijaya singh
289,Arun Jaitley,RT London Finance Minister attending roundtable with prospective issuers leading investors and fintech leaders,Arun Jaitley
290,Sharad Pawar,Left Bahrain after a packed day2fly2Boston for 24hrs to pitch Trivandrum here https t co cZqqWvTyGf then2London https t co btL2mz4LHy,Shashi Tharoor
291,Hillary Clinton,The buzz in the secretariat is that is appointing a new advisor in the next 24 36 hours,Omar Abdullah
292,Arvind Kejriwal,RT Breaking 70S EVM AAP 2,Manish Sisodia
293,Shashi Tharoor,Delhi launch of Sethu s novel about Kerala Jews Aliyah w a lively conversation conducted by https t co FYqXKLv1m3,Shashi Tharoor
294,Omar Abdullah,Kashmir Is A Prison With Three Walls Do read this terrific piece by https t co ktja4fWkXC,Salman Anees Soz
295,Sharad Pawar,Tribute to savitribaiphule She courageously brought about a revolution of WomenEducation in India https t co xfB9nDHoJC,Sharad Pawar
296,Donald J. Trump,Despite major outside money FAKE media support and eleven Republican candidates BIG R win with runoff in Georgia Glad to be of help,Donald J. Trump
297,Manish Sisodia,RT Legacy of British Raj is still holding India back it s time to see British rule in India as horror it really was https,Shashi Tharoor
298,Akhilesh Yadav,No matter how many times I watch this video it never stops being clever https t co nZkenH7zcd,Omar Abdullah
299,Shashi Tharoor,RT INC RealIndia https t co z7Wqb3ejkC,Shashi Tharoor
300,Omar Abdullah,RT Two Muslim Teenagers Killed in India Over Accusation of Cow Theft https t co UgthLVV4TJ,Salman Anees Soz
301,KD SINGH,50 http t co qK8FzQ8YUD,KD SINGH
302,Omar Abdullah,RT The Valley has found an answer to the blocking of messaging sites VPN My 8 year old nephew is a master in bypassing the b,Omar Abdullah
303,Donald J. Trump,UP 100 the worlds largest 24 7 emergency service is now active and will enable the police to reach the complainan https t co poJEu1ZP9m,Akhilesh Yadav
304,Barack Obama,RT As advised on phone just now please keep us updated on your court case,Sushma Swaraj
305,Derek O'Brien,Thanks so much Didn t know I was being watched,Derek O'Brien
306,Shashi Tharoor,Renewed my membership in the company of my booth committee amp ward mandalam Block Presidents Party ready https t co VkPPnwUPII,Shashi Tharoor
307,Arvind Kejriwal,RT Betterment of our people can happen through fruitful engagement PM Sheikh Hasina,Narendra Modi
308,Sushma Swaraj,for help,Sushma Swaraj
309,digvijaya singh,RT Ind Modi ji is yet to condemn killing of Akhlaq whose son was in Airforce But Mahesh Sharma did pay tribute to Akhlaq s killer,digvijaya singh
310,KD SINGH,2 2 Ebola Ebola,KD SINGH
311,Sushma Swaraj,RT IFS passport nt an issue bt exit is Any Indi,Sushma Swaraj
312,Manish Sisodia,RT vns,digvijaya singh
313,Shashi Tharoor,The trusts would bear their entire educational expenses 2 2 https t co vqJupLLCev,Sharad Pawar
314,Sharad Pawar,The four week average of jobless claims fell to the lowest level since 1973 a sign of a healthy labor market https t co Lv7DnRM2DY,Barack Obama
315,KD SINGH,Master of Sarod http t co ogDhIoUsSa,KD SINGH
316,Derek O'Brien,Rajya Sabha passed the GST legislations today paving way for GST implementation Once again congratulations to every stakeholder,Arun Jaitley
317,Arvind Kejriwal,RT Afternoon AAP alleges EC for EVM tampering Evening Income Tax alleges AAP for accounts book tampering,Arvind Kejriwal
318,Salman Anees Soz,This is a good question for Prof Bhagwati What was he thinking Why would a man of his reputation write such drea https t co hSPCI22PjP,Salman Anees Soz
319,Derek O'Brien,Friday night If you are not out partying here s a senti song about lost love https t co MMqcbgyIGx,Derek O'Brien
320,Sushma Swaraj,RT And while we have your attention from recycled false claims here are some facts about how has improved li,Hillary Clinton
321,Shashi Tharoor,God is kind https t co 51TPlvQs9I,Derek O'Brien
322,Salman Anees Soz,The path to sabka saath sabka vikas is paved with authoritarianism says IN Do read https t co f7gVTlO1me,Salman Anees Soz
323,Sushma Swaraj,Lilly Singh Please contact Mr Indian High Commissioner in Canada Let me see what best can we do for you,Sushma Swaraj
324,Akhilesh Yadav,And also to the administrative machinery for their untiring efforts in bringing normalcy at all the locations 4 5,Sharad Pawar
325,Donald J. Trump,Insurance companies are fleeing ObamaCare it is dead Our healthcare plan will lower premiums amp deductibles and be great healthcare,Donald J. Trump
326,Shashi Tharoor,My name is Bond Uncle Bond Called to wish him on his land line Doesn t carry a mobile phone https t co 7Od8BeGpR0,Derek O'Brien
327,Donald J. Trump,After 5 SB victories since 2002 it was my honor to give Bob Kraft Coach Belichick and the players their first to https t co UZPKjqoGZY,Donald J. Trump
328,Sushma Swaraj,RT mam our 3 freinds are missing in bhutan plz help Dhendup Tshering tour guy 975 17608125 335336,Sushma Swaraj
329,Akhilesh Yadav,At the meeting of SP MLAs and MLCs Samajwadi Party headquarters Lucknow https t co WXYmN5Px8T,Akhilesh Yadav
330,Manish Sisodia,RT 2 2 Without even appearing to see the contradiction,Salman Anees Soz
331,Akhilesh Yadav,Laid the foundation stone for 11 district level centralised kitchens operated by Akshaya Patra They will serve mid https t co Yc8tYctfIE,Akhilesh Yadav
332,Arvind Kejriwal,Sad that EC has backed out of hackathon,Arvind Kejriwal
333,Derek O'Brien,Rise amp Shine Parliament resumes 23 match days remain Pitch will take bounce amp turn after March 11,Derek O'Brien
334,Derek O'Brien,Yes Such healthy competition between cities for becoming cleaner augurs well for the nation SwachhSurvekshan2017 https t co h8lfByWAma,Narendra Modi
335,Barack Obama,RT Telangana Both the Union ministers and VKSingh have proved time and again that help for an NRI is just a twee,Sushma Swaraj
336,Hillary Clinton,Inaugurated a hospital complex in Dickoya The hospital has state of the art facilities that will cater to healthca https t co fh3nTZQZLg,Narendra Modi
337,Hillary Clinton,The Act of killing amp mutilating the bodies of two of our soldiers is the most reprehensible amp barbaric The sacrifice will not go in vain,Arun Jaitley
338,Manish Sisodia,RT,Manish Sisodia
339,KD SINGH,http t co KVMrAOb9IG,KD SINGH
340,Akhilesh Yadav,Question and Answer session at the India Today event https t co Db5jJItw38,Akhilesh Yadav
341,digvijaya singh,RT Ind Have taken up this case legally UP Police must act more strongly against perpetrators not victimise the victims Govt must,digvijaya singh
342,Donald J. Trump,China just agreed that the U S will be allowed to sell beef and other major products into China once again This is REAL news,Donald J. Trump
343,Shashi Tharoor,How Kerala sets an example to the rest of India https t co M1cZIWsOZH,Shashi Tharoor
344,KD SINGH,Untill there is total social transformation 2 2,Sharad Pawar
345,Hillary Clinton,RT 1 Bizarre that many Muslims who cry about Islamophobia in the West will hound Ahmadis or discriminate against them ht,Salman Anees Soz
346,Hillary Clinton,RT SOUTHASIA Rest are safe and housed on board other vessels in Hamriya Port We are closely monitoring the,Sushma Swaraj
347,Omar Abdullah,Intensive monitoring amp inspection of grossly polluting industries has led to improvement in water quality of some tributaries of the Ganga,Narendra Modi
348,KD SINGH,1 3 Ebola Health http t co OorOnMAyfM,KD SINGH
349,Arun Jaitley,Addressing the Naval Commanders Conference New Delhi May 2 2017 https t co ekwOiFvwEw,Arun Jaitley
350,Akhilesh Yadav,Today s events https t co AoSMvwRwl3,Akhilesh Yadav
351,Sushma Swaraj,RT twts and convey d problem requirement We assured to Mr Jayant that we would extend a,Sushma Swaraj
352,Omar Abdullah,That the militants kidnapped an army officer amp murdered him shows a new mindset devoid of fear of retribution reven https t co P60waosH3T,Omar Abdullah
353,Narendra Modi,Launch of SouthAsiaSatellite is a historic occasion for all of us amp would herald a new era of cooperation in South Asia,Arun Jaitley
354,Omar Abdullah,Truly Mahatma Gandhi s thoughts are relevant in current context across the Globe,Sharad Pawar
355,Hillary Clinton,After speaking with our election candidates we conclude that BJP made false promises and polarised the vote with c https t co xxst6Eb55O,Akhilesh Yadav
356,Shashi Tharoor,Here is 100 ripping apart an propaganda piece on UP electricity under Adity https t co ZaXJtxG7Wo,Salman Anees Soz
357,Shashi Tharoor,After thirty years in Congress Senator this should not be your proudest accomplishment https t co FwGAJsBCoo https t co 86F1fhUWsp,Barack Obama
358,Hillary Clinton,You can vote for a hopeful inclusive big hearted vision for America Hillary https t co jfd3CXLD1s https t co JJcIfaLSSf,Hillary Clinton
359,Manish Sisodia,RT https t co CHM9OE7nke,Salman Anees Soz
360,Shashi Tharoor,Lauded Dr amp for their emphasis on social entrepreneurship https t co 35s4P378Sn https t co CVb5aj3j5U,Narendra Modi
361,Manish Sisodia,RT I look forward to working closely with President elect to further strengthen India France ties,Sushma Swaraj
362,KD SINGH,nan,Sushma Swaraj
363,Salman Anees Soz,RT m2m New IIP series shows severe impact of demonetisation on manufacturing sector https t co ya0FzekAA4 by Manas Chakravarty,Salman Anees Soz
364,Arun Jaitley,Had a very good meeting with rt His life journey amp accomplishments make every Indian proud amp inspire 1 25 https t co ZHE6XV1SVv,Narendra Modi
365,Akhilesh Yadav,Press conference after today s cabinet meeting https t co hh1jxhNCb8,Akhilesh Yadav
366,Derek O'Brien,Speaking for on Wednesday afternoon on GST but Tuesday night it s time for a mushy song Why not https t co mI9VrsMpgf,Derek O'Brien
367,Manish Sisodia,RT vns,digvijaya singh
368,Sushma Swaraj,I am happy to inform that 10 Indian nationals working as crew on MV AL Kausar which was hijacked by pirates have been rescued 1,Sushma Swaraj
369,Arun Jaitley,Addressing gathering mainly of rural women in Kulathoor about development programmes Told them vikas was about br https t co PIFnpqjlzc,Shashi Tharoor
370,Manish Sisodia,RT Everyday 35 farmers are committing suicide because the Govt has forsaken them Bluff9 Tikdam9 https t co A4who2cp3b,digvijaya singh
371,KD SINGH,NarmadaSevaYatra NarmadaSevaMission https t co jPCdG3HrUS,Narendra Modi
372,Omar Abdullah,Failing which has been calling me wrong for two years just got caught in a big lie concerning New England Patriots visit to W H,Donald J. Trump
373,KD SINGH,nan,Arvind Kejriwal
374,Derek O'Brien,On Day One my colleagues in LS set example on how to be a responsible Opposition in Parliament 4 speakers raise 3 issues,Derek O'Brien
375,Arun Jaitley,Addressing the Business Session at the 50th Annual Meeting of the Board of Governors of the ADB Yokohama May 6 2 https t co 6DhQTDrg8H,Arun Jaitley
376,Narendra Modi,RT Kudos to Government of India and PM for launch of South Asia Satellite Thank you for gifting it to all S,Narendra Modi
377,Omar Abdullah,Am glad that Hon ble CJI s appeal to the judiciary to take up hearings during vacations has yielded very positive amp encouraging results,Narendra Modi
378,Akhilesh Yadav,With the Rani Laxmi Bai awardees https t co sLxaMQtFJL,Akhilesh Yadav
379,Manish Sisodia,RT Yesterday shown same cheque which was showed six months back by Sehrawat Sehrawat deleted,Manish Sisodia
380,Derek O'Brien,Thanks,Derek O'Brien
381,Hillary Clinton,Vote for an America where we build bridges not walls Together let s prove that love trumps hate https t co ZCV69HA6gp,Hillary Clinton
382,Omar Abdullah,I am happy to inform about the release of two Indian nationals Midhun and Edward who were abducted in South Sudan https t co ZCmxtcsFdw,Sushma Swaraj
383,KD SINGH,3 6 NCRB 2009 2013 HumanTrafficking,KD SINGH
384,KD SINGH,https t co tAKjD6gIWO,digvijaya singh
385,Hillary Clinton,Exciting to see the grassroots army that is organizing to help expand the map in 2018 Learn more here https t co Of4RhkY82u,Hillary Clinton
386,Sharad Pawar,Congrats to Sh Trivendra Singh Rawat on being sworn in as CM of Uttarakhand I wish him amp his team the very best in the service of people,Arun Jaitley
387,Donald J. Trump,I m here today to honor our democracy amp its enduring values I will never stop believing in our country amp its future Inauguration,Hillary Clinton
388,Barack Obama,Senate leaders need to work for the good of the American people not seek out political points https t co Tdx3xk6gYi,Barack Obama
389,Omar Abdullah,This is your legacy Your 5 of the people have brought J amp K back to the early 90 s yet shamelessly https t co EhWonsBe9x,Omar Abdullah
390,Shashi Tharoor,RT India is greater than the sum total of its parts RealIndia https t co LsdTFRGWel,Shashi Tharoor
391,Akhilesh Yadav,Holi celebration at my residence HappyHoli https t co PKTBYj0jX8,Arun Jaitley
392,Hillary Clinton,Our children and grandchildren will look back at the choice we make on Tuesday Let s make them proud https t co c6mG8OZ1yr,Hillary Clinton
393,Omar Abdullah,Any time you are ready give it your best shot though you might want to find the you know whats to tweet using your https t co JfJXOyvzvk,Omar Abdullah
394,KD SINGH,4 4,KD SINGH
395,Manish Sisodia,RT Development must be citizen centric Today s development is child centred and women centred it makes governance accessible,Narendra Modi
396,Salman Anees Soz,RT You should answer this one https t co DOeQRFTII6,Manish Sisodia
397,KD SINGH,pallavighosh Agree with Vir Ignore trolls,Derek O'Brien
398,Shashi Tharoor,RT RSS will hold its annual review meeting in Jammu looking to send out a message to separatists https t co v0p5UBQ8K3,Omar Abdullah
399,Donald J. Trump,RT India Breakingnews hc order is seen as a win for womenofAmethi as BJP govt was trying to shut the centre in Amethi https t,digvijaya singh
400,Narendra Modi,Congratulations to South Asian countries their citizens amp scientists on successful launch of the first ever SouthAsiaSatellite,Arun Jaitley
401,Manish Sisodia,RT Investigation still under process Exact time frame will be known on completion Consulate mon,Sushma Swaraj
402,Manish Sisodia,RT Monitor Forces cordon Shopian village people stage protest operation called off By Agencies https t co mfiEFKVd7U,Omar Abdullah
403,Manish Sisodia,RT IFS In gulf countries majority of Indians ar,Sushma Swaraj
404,Narendra Modi,On the road in Sri Lanka overwhelmed https t co 0j7dZDk1op,Narendra Modi
405,Arun Jaitley,Meeting with Finance Minister of Indonesia Sri Mulyani Indrawati in Washington https t co LsnjmH9rOp,Arun Jaitley
406,KD SINGH,This year hasn t been wh https t co vw8Pumtwls,Hillary Clinton
407,Akhilesh Yadav,Inaugurated and laid foundation of many power projects in Etah district including the 2X660 megawatt Jawaharpur th https t co kVZtufJ5Ni,Akhilesh Yadav
408,Sushma Swaraj,RT cus People being beaten amp murdered across several BJP states Not a whisper of Jungle Raj Forget make in India we are not eve,Salman Anees Soz
409,Sushma Swaraj,RT mam mera bhai mohammad wasim malaysian penjara kajang jail mai hai pass no k6083819 plz help us agent ne frod,Sushma Swaraj
410,Barack Obama,Vice President Biden speaks on the dangerous precedent Senate leaders are setting by refusing to do their jobs https t co W1A7Oyb4gB,Barack Obama
411,KD SINGH,is a discerningly experienced journalist with a positive social vision 3 4,Sharad Pawar
412,Sushma Swaraj,We are coordinating with the investigative agencies They have got the CCTV footage and are in the process of apprehending the culprits 4,Sushma Swaraj
413,Akhilesh Yadav,Laptops distributed to Balrampur toppers Anjani Ekta Soumya along with other meritorious students Around 18L laptops distributed in UP,Akhilesh Yadav
414,Manish Sisodia,After the incident in Ramjas college Delhi GurmeherKaur is repeatedly being threatened for propagating peace 1 3,Sharad Pawar
415,Arvind Kejriwal,RT Arvind Kejriwal amp MS Sisodia meets the children affected by gas leak outside Rani Jhansi School amp makes sure emergency reliefs,Manish Sisodia
416,KD SINGH,1 2 Rape http t co HzuLR09xdl,KD SINGH
417,Arvind Kejriwal,RT Good to see this letter say the same thing I have been saying after Bhind episode technically EVMs CAN be tampered https,Arvind Kejriwal
418,Sharad Pawar,I compliment my team of officers in the MEA for their tireless efforts and hard work,Sushma Swaraj
419,Arun Jaitley,RT London Finance Minister opened the market at London Stock Exchange on February 27 2017 IndiaUK,Arun Jaitley
420,Arun Jaitley,Warm birthday greetings to Smt ji Chief Minister of Rajasthan May God bless her with a long healthy amp successful life,Arun Jaitley
421,Barack Obama,RT Sardar Patel also wanted the ban on RSS to stay forever Remember https t co KF4VOg3VkV,digvijaya singh
422,KD SINGH,Dr Homi Bhabha Scholarship of Rs 50 thousand for secondary school students 4 6,Sharad Pawar
423,Donald J. Trump,If there is a worse advertisement on TV than Chris Gayle s women want me to be a bad boy one then I haven t seen it yet,Omar Abdullah
424,Hillary Clinton,But this fight isn t over yet and we can t forget who it s about Here are some stories,Hillary Clinton
425,Donald J. Trump,On the eve of Internationaldayforeliminationofviolenceagainstwomen come amp join hand wid KDSinghFoundation to create a safe society 4 Women,KD SINGH
426,Donald J. Trump,RT Muscat Thank you all I have received my replacemnet passport great,Sushma Swaraj
427,Donald J. Trump,General Flynn was given the highest security clearance by the Obama Administration but the Fake News seldom likes talking about that,Donald J. Trump
